movie,year,tmdb_link,tmdb_id,genres,normalized_title,family_id
The Barretts of Wimpole Street,1934,https://www.themoviedb.org/movie/43693,43693,"Drama, Romance",barretts of wimpole street,FAM0104
The Barretts of Wimpole Street,1957,https://www.themoviedb.org/movie/180222,180222,"Drama, History, Romance",barretts of wimpole street,FAM0104
Broadway Bill,1934,https://www.themoviedb.org/movie/77198,77198,"Comedy, Drama",broadway bill,FAM0105
Riding High,1950,https://www.themoviedb.org/movie/111019,111019,Comedy,riding high,FAM0105
The Countess of Monte Cristo,1934,https://www.themoviedb.org/movie/470634,470634,Comedy,countess of monte cristo,FAM0106
The Countess of Monte Cristo,1948,https://www.themoviedb.org/movie/477011,477011,"Romance, Comedy",countess of monte cristo,FAM0106
Maskerade,1934,https://www.themoviedb.org/movie/80960,80960,"Comedy, Romance",maskerade,FAM0107
Escapade,1935,https://www.themoviedb.org/movie/185543,185543,"Romance, Comedy",escapade,FAM0107
A Story of Floating Weeds,1934,https://www.themoviedb.org/movie/44163,44163,Drama,story of floating weeds,FAM0108
Floating Weeds,1959,https://www.themoviedb.org/movie/46918,46918,Drama,floating weeds,FAM0108
Hi Nellie!,1934,https://www.themoviedb.org/movie/217387,217387,"Comedy, Drama, Crime",hi nellie,FAM0109
Love Is on the Air,1937,https://www.themoviedb.org/movie/180534,180534,"Romance, Mystery, Crime",love is on the air,FAM0109
The Man Who Knew Too Much,1934,https://www.themoviedb.org/movie/8208,8208,"Thriller, Mystery",man who knew too much,FAM0110
The Man Who Knew Too Much,1956,https://www.themoviedb.org/movie/574,574,"Thriller, Mystery, Drama",man who knew too much,FAM0110
Twenty Million Sweethearts,1934,https://www.themoviedb.org/movie/125578,125578,"Music, Comedy",twenty million sweethearts,FAM0111
My Dream Is Yours,1949,https://www.themoviedb.org/movie/24040,24040,"Comedy, Music, Romance",my dream is yours,FAM0111
The 39 Steps,1935,https://www.themoviedb.org/movie/260,260,"Mystery, Thriller",39 steps,FAM0112
The 39 Steps,1959,https://www.themoviedb.org/movie/25386,25386,"Thriller, Mystery",39 steps,FAM0112
The Farmer Takes a Wife,1935,https://www.themoviedb.org/movie/188470,188470,"Comedy, Romance",farmer takes a wife,FAM0113
The Farmer Takes a Wife,1953,https://www.themoviedb.org/movie/130385,130385,"Music, Comedy, Romance",farmer takes a wife,FAM0113
Folies Bergère de Paris,1935,https://www.themoviedb.org/movie/174988,174988,"Comedy, Music",folies berg re de paris,FAM0114
That Night in Rio,1941,https://www.themoviedb.org/movie/43746,43746,"Comedy, Music, Romance",that night in rio,FAM0114
The Informer,1935,https://www.themoviedb.org/movie/43896,43896,"Crime, Drama",informer,FAM0115
Uptight,1968,https://www.themoviedb.org/movie/121971,121971,"Drama, Thriller",uptight,FAM0115
Magnificent Obsession,1935,https://www.themoviedb.org/movie/47920,47920,"Drama, Romance",magnificent obsession,FAM0116
Magnificent Obsession,1954,https://www.themoviedb.org/movie/13457,13457,"Drama, Romance",magnificent obsession,FAM0116
Rendezvous,1935,https://www.themoviedb.org/movie/53860,53860,"Comedy, War",rendezvous,FAM0117
Pacific Rendezvous,1942,https://www.themoviedb.org/movie/98191,98191,"Comedy, Mystery, War",pacific rendezvous,FAM0117
These Three,1936,https://www.themoviedb.org/movie/54569,54569,"Drama, Romance",these three,FAM0118
The Children's Hour,1961,https://www.themoviedb.org/movie/20139,20139,Drama,children s hour,FAM0118
Intermezzo,1936,https://www.themoviedb.org/movie/125891,125891,"Drama, Romance",intermezzo,FAM0119
Intermezzo,1939,https://www.themoviedb.org/movie/31868,31868,"Drama, Romance",intermezzo,FAM0119
The Man Who Lived Twice,1936,https://www.themoviedb.org/movie/101218,101218,"Crime, Drama",man who lived twice,FAM0120
Man in the Dark,1953,https://www.themoviedb.org/movie/48633,48633,"Crime, Thriller",man in the dark,FAM0120
Mr. Deeds Goes to Town,1936,https://www.themoviedb.org/movie/24807,24807,"Comedy, Drama, Romance",mr deeds goes to town,FAM0121
Mr. Deeds,2002,https://www.themoviedb.org/movie/2022,2022,"Comedy, Romance",mr deeds,FAM0121
