Original,Remake(s)
Last Shift (2014),Malum (2023)
The Letter (1940),The Unfaithful (1947)
Lifeboat (1944),Lifepod (1993)
The Lift (1983),Down (2001)
Lilo & Stitch (2002),Lilo & Stitch (2025)
The Lion King (1994),The Lion King (2019)
Little Caesar (1931),Black Caesar (1973)
Little Fugitive (1953),Little Fugitive (2006)
The Little Mermaid (1989),The Little Mermaid (2023)
Little Miss Marker (1934),Sorrowful Jones (1949)
,Little Miss Marker (1980)
The Little Shop of Horrors (1960),Little Shop of Horrors (1986)
Loft (2008),Loft (2010)
,The Loft (2014)
LOL (Laughing Out Loud) (2008),LOL (2012)
Lonesome (1928),The Affair of Susan (1935)
The Lost Chord (1917),The Lost Chord (1925)
Lost Horizon (1937),Lost Horizon (1973)
Lost Patrol (1929),The Lost Patrol (1934)
"Louis 19, King of the Airwaves (1994)",EDtv (1999)
Love Affair (1939),An Affair to Remember (1957)
,Love Affair (1994)
Love Is News (1937),That Wonderful Urge (1948)
Love from a Stranger (1937),Love from a Stranger (1947)
Maula Jatt (1979),Jeene Nahi Doonga (1984)
,The Legend of Maula Jatt (2021)
M (1931),M (1951)
Mädchen in Uniform (1931),Mädchen in Uniform (1958)
Magnificent Obsession (1935),Magnificent Obsession (1954)
The Magnificent Seven (1960),The Magnificent Seven (2016)
The Major and the Minor (1942),You're Never Too Young (1955)
A Man Called Ove (2015),A Man Called Otto (2022)
The Man Who Knew Too Much (1934),The Man Who Knew Too Much (1956)
The Man Who Lived Twice (1936),Man in the Dark (1953)
The Man Who Loved Women (1977),The Man Who Loved Women (1983)
The Manchurian Candidate (1962),The Manchurian Candidate (2004)
Il Mare (2000),The Lake House (2006)
Mare Nostrum (1926),Mare Nostrum (1948)
Maskerade (1934),Escapade (1935)
Martyrs (2008),Martyrs (2015)
The Mayor of Hell (1933),Crime School (1938)
Midnight (1939),Masquerade in Mexico (1945)
The Mechanic (1972),The Mechanic (2011)
Meet the Parents (1992),Meet the Parents (2000)
Merton of the Movies (1924),Make Me a Star (1932)
Midsommer (2003),Solstice (2008)
Mighty Joe Young (1949),Mighty Joe Young (1998)
The Miracle of Morgan's Creek (1944),Rock-A-Bye Baby (1958)
The Miracle Man (1919),The Miracle Man (1932)
Miss Granny (2014),20 Once Again (2015)
,Sweet 20 (2015)
Mississippi Mermaid (1969),Original Sin (2001)
The Magnificent Fraud (1939),Moon over Parador (1988)
The Michigan Kid (1928),The Michigan Kid (1947)
The More the Merrier (1943),"Walk, Don't Run (1966)"
Mostly Martha (2001),No Reservations (2007)
Mother's Day (1980),Mother's Day (2010)
Mr. Blandings Builds His Dream House (1948),The Money Pit (1986)
Mr. Deeds Goes to Town (1936),Mr. Deeds (2002)
Mr. Smith Goes to Washington (1939),Billy Jack Goes to Washington (1977)
Mulan (1998),Mulan (2020)
The Mummy (1932),The Mummy (1959)
,The Mummy (1999)
,The Mummy (2017)
Murder! (1930),Mary (1931)
My Bloody Valentine (1981),My Bloody Valentine 3D (2009)
My Father's Dragon (1997),My Father's Dragon (2022)
My Father the Hero (1991),My Father the Hero (1994)
My Favorite Wife (1940),"Something's Got to Give (1962, unfinished)"
,"Move Over, Darling (1963)"
My Man Godfrey (1936),My Man Godfrey (1957)
My Name Is Julia Ross (1945),Dead of Winter (1987)
My Old Dutch (1915),My Old Dutch (1926)
