Movie,Year,TMDB Link,Genre
D.O.A.,1988,https://www.themoviedb.org/movie/9748,"Mystery, Thriller"
Dark Victory,1939,https://www.themoviedb.org/movie/27972,"Drama, Romance"
Dark Water,2002,https://www.themoviedb.org/movie/12205,"Horror, Mystery, Thriller"
Dark Water,2005,https://www.themoviedb.org/movie/9009,"Horror, Mystery"
Das Experiment,2001,https://www.themoviedb.org/movie/575,"Drama, Thriller"
Dawn of the Dead,1978,https://www.themoviedb.org/movie/923,"Horror, Science Fiction"
Dawn of the Dead,2004,https://www.themoviedb.org/movie/924,"Horror, Action"
Day of the Dead,1985,https://www.themoviedb.org/movie/8408,"Horror, Drama, Mystery"
Day of the Dead,2008,https://www.themoviedb.org/movie/13613,"Action, Horror, Science Fiction, Thriller"
Day of the Dead: Bloodline,2017,https://www.themoviedb.org/movie/485415,"Action, Horror"
Dead of Winter,1987,https://www.themoviedb.org/movie/70199,"Thriller, Horror"
Dead Ringer,1964,https://www.themoviedb.org/movie/22543,"Crime, Drama, Horror"
Death at a Funeral,2007,https://www.themoviedb.org/movie/2196,"Comedy, Drama"
Death at a Funeral,2010,https://www.themoviedb.org/movie/34803,Comedy
Death Game,1977,https://www.themoviedb.org/movie/86743,"Thriller, Horror"
Death Takes a Holiday,1934,https://www.themoviedb.org/movie/37215,"Fantasy, Romance, Drama"
Death Wish,1974,https://www.themoviedb.org/movie/13939,"Crime, Drama, Action"
Death Wish,2018,https://www.themoviedb.org/movie/395990,"Action, Crime, Thriller, Drama"
Desperate Hours,1990,https://www.themoviedb.org/movie/31676,"Thriller, Crime"
Destry,1954,https://www.themoviedb.org/movie/94176,"Western, War"
Destry Rides Again,1939,https://www.themoviedb.org/movie/43828,"Western, Comedy"
Diabolique,1996,https://www.themoviedb.org/movie/10988,"Mystery, Thriller, Horror"
Dial M for Murder,1954,https://www.themoviedb.org/movie/521,"Thriller, Crime, Drama"
Diamond Horseshoe,1945,https://www.themoviedb.org/movie/108205,"Music, Comedy"
Dirty Rotten Scoundrels,1988,https://www.themoviedb.org/movie/10141,"Comedy, Crime"
District 13,2004,https://www.themoviedb.org/movie/10045,"Action, Thriller, Science Fiction"
Diversion,1980,https://www.themoviedb.org/movie/253402,Comedy
Don't Look Up,1996,https://www.themoviedb.org/movie/58405,Horror
Dona Flor and Her Two Husbands,1976,https://www.themoviedb.org/movie/42234,"Comedy, Drama, Fantasy, Romance"
Down,2001,https://www.themoviedb.org/movie/19058,"Horror, Mystery, Thriller"
Down and Out in Beverly Hills,1986,https://www.themoviedb.org/movie/9941,Comedy
Down to Earth,2001,https://www.themoviedb.org/movie/16300,"Fantasy, Comedy, Romance"
Dr. Jekyll and Mr. Hyde,1931,https://www.themoviedb.org/movie/3019,"Horror, Science Fiction, Drama"
